song_title,album_title,album_release_date_raw,album_release_date_iso,disc_number,track_number,release_group_mbid,release_mbid,recording_mbid
I Wish I Were Blind,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,88cbc36d-955d-4555-bf71-1d0f755e8a7c
The Long Goodbye,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,ab194b32-e457-4095-8fb3-436291d34d3f
Real Man,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,5aed6049-7ce0-4039-b628-01089c8e4395
Pony Boy,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,ff537c38-cfda-474a-8ebc-36fbb991307f
Better Days,Lucky Town,1992,1992-01-01,1,,c0e8b10a-9478-30ea-a299-90ab2b703ab0,75351480-3ad5-4f64-9b87-f2e004f13910,bcf2897b-9073-4ff0-9c45-53dd467cb189
Lucky Town,Lucky Town,1992,1992-01-01,1,,c0e8b10a-9478-30ea-a299-90ab2b703ab0,75351480-3ad5-4f64-9b87-f2e004f13910,2548829a-9f66-4cec-b916-e7ae9e026b87
Local Hero,Lucky Town,1992,1992-01-01,1,,c0e8b10a-9478-30ea-a299-90ab2b703ab0,75351480-3ad5-4f64-9b87-f2e004f13910,30d9be79-aeb6-40e8-ae11-412e23168f06
If I Should Fall Behind,Lucky Town,1992,1992-01-01,1,,c0e8b10a-9478-30ea-a299-90ab2b703ab0,75351480-3ad5-4f64-9b87-f2e004f13910,26e8d081-cdfb-4738-ae10-c0746478838d
Leap of Faith,Lucky Town,1992,1992-01-01,1,,c0e8b10a-9478-30ea-a299-90ab2b703ab0,75351480-3ad5-4f64-9b87-f2e004f13910,0966bd21-a7ad-451c-9af9-722e198ec687
The Big Muddy,Lucky Town,1992,1992-01-01,1,,c0e8b10a-9478-30ea-a299-90ab2b703ab0,75351480-3ad5-4f64-9b87-f2e004f13910,bbbd8402-63e2-4495-b78e-b24f5505de1d
Living Proof,Lucky Town,1992,1992-01-01,1,,c0e8b10a-9478-30ea-a299-90ab2b703ab0,75351480-3ad5-4f64-9b87-f2e004f13910,e21b5fe0-1bf9-4837-a347-366962578c87
Book of Dreams,Lucky Town,1992,1992-01-01,1,,c0e8b10a-9478-30ea-a299-90ab2b703ab0,75351480-3ad5-4f64-9b87-f2e004f13910,3d83db67-43cc-4162-bcab-bec48c5c680f
Souls of the Departed,Lucky Town,1992,1992-01-01,1,,c0e8b10a-9478-30ea-a299-90ab2b703ab0,75351480-3ad5-4f64-9b87-f2e004f13910,186191e8-a72b-4065-88d6-0694f341596b
My Beautiful Reward,Lucky Town,1992,1992-01-01,1,,c0e8b10a-9478-30ea-a299-90ab2b703ab0,75351480-3ad5-4f64-9b87-f2e004f13910,9c0999ef-83a8-4671-b201-393df46d1073
The Ghost of Tom Joad,The Ghost of Tom Joad,1995,1995-01-01,1,,46ab3187-496d-3565-900e-57d89bacd22c,ebfb5064-7f08-40ba-84a7-b9a5e9c43f6f,b5a99727-7943-4207-a125-ff04a49a345c
