song_title,album_release_date_iso,play_date_iso,years_since_release
Youngstown,1995-01-01,2024-11-22,29.89
Long Walk Home,2007-01-01,2024-11-22,17.89
The E Street Shuffle,1973-01-01,2024-11-22,51.89
Nightshift,2022-11-11,2024-11-22,2.03
I’m on Fire,1984-01-01,2024-11-22,40.89
Racing in the Street,1978-01-01,2024-11-22,46.89
Last Man Standing,2020-10-23,2024-11-22,4.08
Backstreets,1975-01-01,2024-11-22,49.89
Because the Night,2010-01-01,2024-11-22,14.89
Brilliant Disguise,1987-01-01,2024-11-22,37.89
Wrecking Ball,2012-01-01,2024-11-22,12.89
The Rising,2002-01-01,2024-11-22,22.89
Badlands,1978-01-01,2024-11-22,46.89
Thunder Road,1975-01-01,2024-11-22,49.89
Meeting Across the River,1975-01-01,2024-11-22,49.89
Jungleland,1975-01-01,2024-11-22,49.89
Born to Run,1975-01-01,2024-11-22,49.89
Bobby Jean,1984-01-01,2024-11-22,40.89
Dancing in the Dark,1984-01-01,2024-11-22,40.89
Tenth Avenue Freeze‐Out,1975-01-01,2024-11-22,49.89
I’ll See You in My Dreams,2020-10-23,2024-11-22,4.08
Spirit in the Night,1973-01-01,2024-11-19,51.88
The Promised Land,1978-01-01,2024-11-19,46.88
Hungry Heart,1980-01-01,2024-11-19,44.89
Prove It All Night,1978-01-01,2024-11-19,46.88
Darkness on the Edge of Town,1978-01-01,2024-11-19,46.88
Working on the Highway,1984-01-01,2024-11-19,40.89
Letter to You,2020-10-23,2024-11-19,4.07
Reason to Believe,1982-01-01,2024-11-19,42.88
Atlantic City,1982-01-01,2024-11-19,42.88
Youngstown,1995-01-01,2024-11-19,29.88
Long Walk Home,2007-01-01,2024-11-19,17.88
The E Street Shuffle,1973-01-01,2024-11-19,51.88
Nightshift,2022-11-11,2024-11-19,2.02
My Hometown,1984-01-01,2024-11-19,40.89
The River,1980-01-01,2024-11-19,44.89
Last Man Standing,2020-10-23,2024-11-19,4.07
Backstreets,1975-01-01,2024-11-19,49.88
Because the Night,2010-01-01,2024-11-19,14.88
Wrecking Ball,2012-01-01,2024-11-19,12.88
The Rising,2002-01-01,2024-11-19,22.88
Badlands,1978-01-01,2024-11-19,46.88
Thunder Road,1975-01-01,2024-11-19,49.88
Land of Hope and Dreams,2012-01-01,2024-11-19,12.88
Born to Run,1975-01-01,2024-11-19,49.88
Glory Days,1984-01-01,2024-11-19,40.89
Dancing in the Dark,1984-01-01,2024-11-19,40.89
Tenth Avenue Freeze‐Out,1975-01-01,2024-11-19,49.88
I’ll See You in My Dreams,2020-10-23,2024-11-19,4.07
She’s the One,1975-01-01,2024-11-16,49.88
Prove It All Night,1978-01-01,2024-11-16,46.88
The Promised Land,1978-01-01,2024-11-16,46.88
Hungry Heart,1980-01-01,2024-11-16,44.88
Darlington County,1984-01-01,2024-11-16,40.88
Reason to Believe,1982-01-01,2024-11-16,42.88
Letter to You,2020-10-23,2024-11-16,4.07
Atlantic City,1982-01-01,2024-11-16,42.88
Youngstown,1995-01-01,2024-11-16,29.88
Long Walk Home,2007-01-01,2024-11-16,17.88
The E Street Shuffle,1973-01-01,2024-11-16,51.88
Nightshift,2022-11-11,2024-11-16,2.02
My Hometown,1984-01-01,2024-11-16,40.88
The River,1980-01-01,2024-11-16,44.88
Last Man Standing,2020-10-23,2024-11-16,4.07
Backstreets,1975-01-01,2024-11-16,49.88
Because the Night,2010-01-01,2024-11-16,14.88
Wrecking Ball,2012-01-01,2024-11-16,12.88
The Rising,2002-01-01,2024-11-16,22.88
Badlands,1978-01-01,2024-11-16,46.88
Thunder Road,1975-01-01,2024-11-16,49.88
Born to Run,1975-01-01,2024-11-16,49.88
Bobby Jean,1984-01-01,2024-11-16,40.88
Dancing in the Dark,1984-01-01,2024-11-16,40.88
Tenth Avenue Freeze‐Out,1975-01-01,2024-11-16,49.88
I’ll See You in My Dreams,2020-10-23,2024-11-16,4.07
Lonesome Day,2002-01-01,2024-11-13,22.87
No Surrender,1984-01-01,2024-11-13,40.87
The Promised Land,1978-01-01,2024-11-13,46.87
Hungry Heart,1980-01-01,2024-11-13,44.87
